Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
120987,Bưu cục cấp 3 KHL EMS TMĐT 1,"Sô´565, Đường Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân",20.98477766,105.81525,thanh xuân,19
119197,Hòm thư Công cộng độc lập phố Nghĩa Dũng,"Sô´57, Phố Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình",21.04787844,105.8473463,ba đình,10
100100,Bưu cục cấp 3 Quốc Tế,"Sô´6, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02627818,105.8535641,hoàn kiếm,12
110402,Hòm thư Công cộng độc lập Khách sạn Hilton Opera,"Sô´6, Phố Đặng Thái Thân, Phường Phan Chu Trinh, Quận Hoàn Kiếm",21.02311878,105.8582716,hoàn kiếm,19
110220,Bưu cục cấp 3 Lương Văn Can,"Sô´66, Phố Lương Văn Can, Phường Hàng Trống, Quận Hoàn Kiếm",21.03309467,105.8490702,hoàn kiếm,16
110000,Bưu cục cấp 2 Tràng Tiền,"Sô´66, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02578733,105.853382,hoàn kiếm,15
112618,Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 2,"Sô´67, Phố Ngô Thì Nhậm, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng",21.0141319,105.8536426,hai bà trưng,10
112617,Hòm thư Công cộng độc lập Khách sạn Nikko,"Sô´68, Phố Trần Nhân Tông, Phường Nguyễn Du, Quận Hai Bà Trưng",21.01784742,105.8423565,hai bà trưng,18
117127,Bưu cục cấp 3 Lãnh sự quán Mỹ MB,"Sô´7, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa",21.02218032,105.8187276,đống đa,17
119346,Bưu cục cấp 3 Giao dịch EMS Ba Đình 2,"Sô´70, Phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình",21.04045927,105.8129384,ba đình,14
111770,Bưu cục cấp 3 Bưu cục Giao dịch 5,"Sô´78, Đường Bạch Đằng, Phường Chương Dương Độ, Quận Hoàn Kiếm",21.0102273,105.8679702,hoàn kiếm,12
122772,Bưu cục cấp 3 Hoàng Sâm,"Sô´8, Phố Hoàng Sâm, Phường Nghĩa Đô, Quận Cầu Giấy",21.04581489,105.7995332,cầu giấy,12
118600,Bưu cục cấp 3 Quán Thánh,"Sô´8, Phố Quán Thánh, Phường Nguyễn Trung Trực, Quận Ba Đình",21.04046002,105.8470108,ba đình,10
115490,Bưu cục cấp 3 Hoàng Cầu,"Sô´9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01925427,105.8272787,đống đa,16
117000,Bưu cục cấp 3 Láng Trung,"Sô´95, Phố Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa",21.01925353,105.8081429,đống đa,9
