lat,long,district
21.027,105.844,hoàn kiếm
20.996,105.806,thanh xuân
20.991,105.771,nam từ liêm
21.022,105.85,hoàn kiếm
21.015,105.785,nam từ liêm
20.998,105.817,thanh xuân
21.004,105.855,hai bà trưng
21.031,105.8,cầu giấy
21.015,105.814,đống đa
21.006,105.861,hai bà trưng
20.996,105.854,hai bà trưng
21.038,105.855,hoàn kiếm
21.036,105.76,nam từ liêm
20.993,105.797,thanh xuân
21.048,105.799,cầu giấy
21.048,105.8,cầu giấy
21.036,105.761,nam từ liêm
21.045,105.842,ba đình
21.049,105.802,cầu giấy
21.047,105.799,cầu giấy
21.025,105.836,đống đa
21.031,105.851,hoàn kiếm
21.015,105.852,hai bà trưng
21.017,105.836,đống đa
21.04,105.791,cầu giấy
21.01,105.8,cầu giấy
21.019,105.857,hoàn kiếm
21.035,105.825,ba đình
20.995,105.857,hai bà trưng
21.01,105.819,đống đa
21.041,105.822,ba đình
21.043,105.842,ba đình
21.02,105.844,hai bà trưng
21.015,105.853,hai bà trưng
21.043,105.836,ba đình
21.02,105.813,ba đình
21.04,105.773,cầu giấy
20.987,105.797,thanh xuân
21.033,105.855,hoàn kiếm
21.029,105.843,hoàn kiếm
21.037,105.849,hoàn kiếm
21.031,105.785,cầu giấy
21.016,105.823,đống đa
21.026,105.85,hoàn kiếm
21.011,105.801,cầu giấy
20.998,105.871,hai bà trưng
20.987,105.789,nam từ liêm
21.004,105.834,đống đa
21.03,105.775,nam từ liêm
21.02,105.855,hoàn kiếm
20.998,105.796,nam từ liêm
21.032,105.853,hoàn kiếm
21.03,105.843,ba đình
21.016,105.858,hai bà trưng
21.019,105.853,hoàn kiếm
21.036,105.828,ba đình
21.049,105.801,cầu giấy
21.009,105.835,đống đa
21.013,105.79,cầu giấy
21.012,105.791,cầu giấy
21.011,105.79,nam từ liêm
21.012,105.789,nam từ liêm
21.016,105.788,nam từ liêm
21.015,105.788,nam từ liêm
21.015,105.787,nam từ liêm
21.008,105.805,cầu giấy
21.014,105.789,cầu giấy
21.016,105.789,cầu giấy
21.039,105.829,ba đình
21.034,105.796,cầu giấy
21.024,105.847,hoàn kiếm
21.009,105.863,hai bà trưng
21.01,105.807,cầu giấy
21.015,105.786,nam từ liêm
21.046,105.801,cầu giấy
21.035,105.815,ba đình
21.037,105.851,hoàn kiếm
21.033,105.848,hoàn kiếm
21.016,105.807,đống đa
21.035,105.838,ba đình
21.039,105.838,ba đình
21.021,105.784,cầu giấy
21.035,105.851,hoàn kiếm
21.036,105.829,ba đình
21.038,105.821,ba đình
