lat,long,district,min_distances,po_code
21.015,105.814,đống đa,0.007238655805516,117000.0
21.006,105.861,hai bà trưng,0.0042735708679739,113713.0
20.996,105.854,hai bà trưng,0.003286219951932,113900.0
21.038,105.855,hoàn kiếm,0.00289719481784,111515.0
21.036,105.76,nam từ liêm,0.0064201896998451,129733.0
20.993,105.797,thanh xuân,0.0076293522472426,120065.0
21.048,105.799,cầu giấy,0.0022492238554862,122772.0
21.048,105.8,cầu giấy,0.0022344144539665,122772.0
21.036,105.761,nam từ liêm,0.0056889573545675,129733.0
21.045,105.842,ba đình,0.0037479397554363,118800.0
21.049,105.802,cầu giấy,0.0040286508848671,122772.0
21.047,105.799,cầu giấy,0.0012995337441157,122772.0
21.025,105.836,đống đa,0.0065672679036504,115545.0
21.031,105.851,hoàn kiếm,0.0023732116982864,110201.0
21.015,105.852,hai bà trưng,0.0018578838418997,112618.0
21.017,105.836,đống đa,0.0041614223544983,115356.0
21.04,105.791,cầu giấy,0.0059879176780372,122320.0
21.01,105.8,cầu giấy,0.0040957126784455,123075.0
21.019,105.857,hoàn kiếm,0.004310604974758,110402.0
21.035,105.825,ba đình,0.0033219387731433,118518.0
20.995,105.857,hai bà trưng,0.0004392511496835,113900.0
21.01,105.819,đống đa,0.0034667965995287,115000.0
21.041,105.822,ba đình,0.006083173932944,119511.0
21.043,105.842,ba đình,0.0039833368437008,118800.0
21.02,105.844,hai bà trưng,0.0027082638177258,112617.0
21.015,105.853,hai bà trưng,0.0010800612806738,112618.0
21.043,105.836,ba đình,0.0027147324749262,118800.0
21.02,105.813,ba đình,0.0036330094756301,118977.0
21.04,105.773,cầu giấy,0.0020638549819208,122801.0
20.987,105.797,thanh xuân,0.0119448405478074,120065.0
21.033,105.855,hoàn kiếm,0.0029876810091619,111515.0
21.029,105.843,hoàn kiếm,0.0015194970552517,111100.0
21.037,105.849,hoàn kiếm,0.0009724248269675,111300.0
21.031,105.785,cầu giấy,0.0058936697143976,123105.0
21.016,105.823,đống đa,0.0045578925340989,116700.0
21.026,105.85,hoàn kiếm,0.0030796807894495,110201.0
21.011,105.801,cầu giấy,0.0027544186944595,123075.0
20.998,105.871,hai bà trưng,0.012818909780612,113713.0
20.987,105.789,nam từ liêm,0.0124002527240185,130301.0
21.004,105.834,đống đa,0.0034347224924313,116177.0
21.03,105.775,nam từ liêm,0.0013209484753004,130679.0
21.02,105.855,hoàn kiếm,0.0021796520470962,110513.0
20.998,105.796,nam từ liêm,0.0184847869238355,130301.0
21.032,105.853,hoàn kiếm,0.0025285552793828,110911.0
21.03,105.843,ba đình,0.0024911353259349,118728.0
21.016,105.858,hai bà trưng,0.002500210961599,113100.0
21.019,105.853,hoàn kiếm,0.0014366081742787,110513.0
21.036,105.828,ba đình,0.0046203798770685,118733.0
21.049,105.801,cầu giấy,0.0035066262920521,122772.0
21.009,105.835,đống đa,0.0015905534727254,116000.0
21.013,105.79,cầu giấy,0.0057566392490818,123080.0
21.012,105.791,cầu giấy,0.0062962906098849,123080.0
21.011,105.79,nam từ liêm,0.0214746824800629,130301.0
21.012,105.789,nam từ liêm,0.0218036296891013,130301.0
21.016,105.788,nam từ liêm,0.0204162813674331,130679.0
21.015,105.788,nam từ liêm,0.0211546993567416,130679.0
21.015,105.787,nam từ liêm,0.0205060065559919,130679.0
21.008,105.805,cầu giấy,0.0062855661912406,123075.0
21.014,105.789,cầu giấy,0.0055348455664198,123080.0
21.016,105.789,cầu giấy,0.0042992273077979,123080.0
21.039,105.829,ba đình,0.0069812627946845,118733.0
21.034,105.796,cầu giấy,0.0027019155283048,122000.0
21.024,105.847,hoàn kiếm,0.0028582755854473,111000.0
21.009,105.863,hai bà trưng,0.0011894401891684,113713.0
21.01,105.807,cầu giấy,0.0060936247295387,123075.0
21.015,105.786,nam từ liêm,0.0198864603404996,130679.0
21.046,105.801,cầu giấy,0.0014784342907645,122772.0
21.035,105.815,ba đình,0.0052136203922885,118028.0
21.037,105.851,hoàn kiếm,0.0021651812958935,111300.0
21.033,105.848,hoàn kiếm,0.0010743790992484,110220.0
21.016,105.807,đống đa,0.0034484312188188,117000.0
21.035,105.838,ba đình,0.0033769046731604,118734.0
21.039,105.838,ba đình,0.0054627843093427,118800.0
21.021,105.784,cầu giấy,0.0041585876984885,122080.0
21.035,105.851,hoàn kiếm,0.0007460820376452,110307.0
21.036,105.829,ba đình,0.0041281606325873,118733.0
21.038,105.821,ba đình,0.0029233345854373,119511.0
21.03,105.859,hoàn kiếm,0.0057134487949486,110019.0
21.013,105.863,hai bà trưng,0.0043103651775249,113713.0
21.046,105.803,cầu giấy,0.0034717384625123,122772.0
21.018,105.858,hai bà trưng,0.0044960043207854,113100.0
21.042,105.841,ba đình,0.0036552335644055,118800.0
21.035,105.829,ba đình,0.0032367066917527,118733.0
21.012,105.849,hai bà trưng,0.0032978035641385,112310.0
21.038,105.852,hoàn kiếm,0.0028433673368893,111515.0
21.039,105.85,hoàn kiếm,0.0013912764082257,111300.0
21.018,105.854,hai bà trưng,0.0033321340206565,112300.0
21.023,105.849,hoàn kiếm,0.0046399141205822,110513.0
21.036,105.795,cầu giấy,0.0047316072873954,122000.0
20.989,105.798,thanh xuân,0.0097250817843575,120065.0
21.037,105.85,hoàn kiếm,0.0013478909614973,111300.0
21.016,105.81,đống đa,0.0037462351595829,117000.0
21.009,105.834,đống đa,0.001942694095735,116000.0
21.03,105.851,hoàn kiếm,0.0016577918340047,110201.0
21.031,105.833,đống đa,0.0030175565808062,115545.0
21.028,105.806,ba đình,0.0103641323201207,118000.0
21.025,105.85,hoàn kiếm,0.0034724361086873,110000.0
21.039,105.848,hoàn kiếm,0.0014809625397392,111300.0
21.02,105.853,hoàn kiếm,0.0004513125816979,110513.0
21.011,105.825,đống đa,0.0008855418411382,116700.0
21.033,105.798,cầu giấy,0.0004890475662992,122000.0
21.019,105.808,đống đa,0.0002910289863588,117000.0
21.04,105.765,nam từ liêm,0.0001368056362164,129733.0
21.027,105.853,hoàn kiếm,0.0009160965682774,100100.0
21.041,105.806,ba đình,0.0043556651327834,118000.0
21.026,105.851,hoàn kiếm,0.0023914749693205,110000.0
20.998,105.861,hai bà trưng,0.0045959592657642,113900.0
21.039,105.787,cầu giấy,0.0034377409300918,123105.0
21.036,105.826,ba đình,0.0046736470996953,118518.0
21.056,105.809,cầu giấy,0.0139052784205174,122772.0
21.019,105.773,nam từ liêm,0.0118894602431908,130679.0
21.031,105.837,ba đình,0.0011323449878812,118734.0
21.028,105.779,nam từ liêm,0.0057652775192804,130679.0
21.01,105.822,đống đa,0.00290893084526,115000.0
21.015,105.859,hai bà trưng,0.0019246181056225,113100.0
21.019,105.861,hoàn kiếm,0.0049404974697363,110402.0
21.042,105.845,ba đình,0.0025327564115865,118600.0
21.026,105.835,đống đa,0.0051697628299841,115545.0
21.008,105.819,đống đa,0.0022278417049908,115000.0
21.027,105.846,hoàn kiếm,0.0007508790331345,111000.0
21.018,105.849,hai bà trưng,0.0018442117914091,112300.0
21.027,105.847,hoàn kiếm,0.0015983802183372,111000.0
21.019,105.806,đống đa,0.0021578456550324,117000.0
21.024,105.844,hoàn kiếm,0.0028629948170445,111000.0
21.028,105.847,hoàn kiếm,0.002164065461664,111000.0
21.041,105.794,cầu giấy,0.0039449332210939,122320.0
21.041,105.846,ba đình,0.0011459908552887,118600.0
21.027,105.839,đống đa,0.0084642712455512,115545.0
21.031,105.836,ba đình,0.0020426955650751,118734.0
21.014,105.841,đống đa,0.0076760234504898,115356.0
21.045,105.847,ba đình,0.0028991965306964,119197.0
21.047,105.781,cầu giấy,0.0069637005925449,122913.0
21.024,105.855,hoàn kiếm,0.0024109069930052,110000.0
21.026,105.848,hoàn kiếm,0.0025332704795134,111000.0
21.039,105.839,ba đình,0.0055007465320983,118800.0
21.026,105.855,hoàn kiếm,0.0014625980043782,100100.0
21.036,105.837,ba đình,0.0044773658742175,118734.0
21.019,105.851,hai bà trưng,0.0004505520298487,112300.0
21.021,105.855,hoàn kiếm,0.0022114979191512,110513.0
21.02,105.854,hoàn kiếm,0.0012154353320499,110513.0
21.029,105.825,đống đa,0.0057680818058032,115545.0
21.02,105.861,hoàn kiếm,0.0041437851354116,110402.0
21.03,105.842,ba đình,0.0015877516216654,118728.0
21.044,105.808,ba đình,0.0060765585237673,119346.0
