Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
111515,Hòm thư Công cộng độc lập phố Hàng Buồm,"Sô´28, Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm",21.03555325,105.8534485,hoàn kiếm,8,26,3.25,0.3076923076923077
119511,Bưu cục cấp 3 Trung tâm dịch vụ Ba Đình,"Sô´281, Phố Đội Cấn, Phường Liễu Giai, Quận Ba Đình",21.03517878,105.8202341,ba đình,5,46,9.2,0.10869565217391304
110201,Hòm thư Công cộng độc lập Thư viện Quốc gia,"Sô´31, Phố Tràng Thi, Phường Hàng Trống, Quận Hoàn Kiếm",21.02905807,105.8496358,hoàn kiếm,5,24,4.8,0.20833333333333334
128180,Bưu cục cấp 3 KHL Hoàng Mai 2,"Sô´317, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai",20.9866851,105.8611772,hoàng mai,18,69,3.8333333333333335,0.2608695652173913
115000,Bưu cục cấp 2 Đống Đa,"Sô´35, Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa",21.00723615,105.8210928,đống đa,11,30,2.727272727272727,0.36666666666666664
115356,Bưu cục cấp 3 Xã Đàn,"Sô´360/40, Phố Nam Đồng, Phường Nam Đồng, Quận Đống Đa",21.01381115,105.8333263,đống đa,19,54,2.8421052631578947,0.35185185185185186
125000,Bưu cục cấp 3 Long Biên,"Sô´366, Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên",21.04799062,105.8743768,long biên,18,212,11.777777777777779,0.08490566037735849
152261,Điểm BĐVHX Văn Khê,"Sô´37, Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông",20.96614031,105.7659128,hà đông,8,52,6.5,0.15384615384615385
122300,Bưu cục cấp 3 Hoàng Quốc Việt,"Sô´393, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy",21.04601007,105.791191,cầu giấy,6,12,2.0,0.5
100995,Bưu cục Phát hành Báo chí KT VCBC 2,"Sô´4, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.03762619,105.8465941,hoàn kiếm,7,7,1.0,1.0
110513,Hòm thư Công cộng độc lập phố Nguyễn Chế Nghĩa,"Sô´4, Phố Nguyễn Chế Nghĩa, Phường Hàng Bài, Quận Hoàn Kiếm",21.02043008,105.8528632,hoàn kiếm,6,32,5.333333333333333,0.1875
151507,Bưu cục cấp 3 PHBC Postmart Hà Đông,"Sô´4, Phố Yết Kiêu, Phường Yết Kiêu, Quận Hà Đông",20.97508508,105.7796776,hà đông,9,9,1.0,1.0
118734,Bưu cục cấp 3 EMS Cục Xuất Nhập Cảnh,"Sô´44-46, Phố Trần Phú, Phường Điện Biên, Quận Ba Đình",21.03162354,105.8379452,ba đình,16,23,1.4375,0.6956521739130435
118028,Bưu cục cấp 3 Đốc Ngữ,"Sô´440, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03781757,105.8106133,ba đình,20,28,1.4,0.7142857142857143
115070,Bưu cục cấp 3 [EMS] Đống Đa,"Sô´45 ngõ 9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01912626,105.8272622,đống đa,6,18,3.0,0.3333333333333333
122913,Bưu cục cấp 3 Doãn Kế Thiện,"Sô´46, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy",21.04189495,105.7762638,cầu giấy,7,21,3.0,0.3333333333333333
116700,Bưu cục cấp 3 Đặng Tiến Đông,"Sô´47, Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa",21.01166882,105.8244196,đống đa,11,45,4.090909090909091,0.24444444444444444
114001,Hòm thư Công cộng độc lập Bệnh viện Thanh Nhàn,"Sô´48, Phố Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng",21.00312412,105.8527549,hai bà trưng,6,13,2.1666666666666665,0.46153846153846156
111000,Bưu cục cấp 3 Tháp Hà Nội,"Sô´49, Phố Hai Bà Trưng, Phường Trần Hưng Đạo, Quận Hoàn Kiếm",21.02643582,105.8455045,hoàn kiếm,16,34,2.125,0.47058823529411764
118728,Bưu cục cấp 3 Nguyễn Thái Học,"Sô´49, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.02915211,105.8406576,ba đình,13,14,1.0769230769230769,0.9285714285714286
130679,Bưu cục cấp 3 PHBC Postmart Phạm Hùng,"Sô´5, Thôn Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.03084838,105.7739875,nam từ liêm,12,119,9.916666666666666,0.10084033613445378
128540,Bưu cục cấp 3 HH Linh Đàm,"Sô´50, Lô nhà HH3C, Khu đô thị Bắc Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai",20.96392322,105.8277272,hoàng mai,12,71,5.916666666666667,0.16901408450704225
